,gid,geometry,value_소방서,value_경찰서,value_병원,value_보건기관,value_응급의료시설,value_의원
99,라사04a75b,"POLYGON ((1004000 1975500, 1004000 1976000, 1004500 1976000, 1004500 1975500, 1004000 1975500))",10.346,10.299,31.117,7.912,34.698,10.281
100,라사04a76a,"POLYGON ((1004000 1976000, 1004000 1976500, 1004500 1976500, 1004500 1976000, 1004000 1976000))",9.148,9.101,29.919,10.306,33.501,9.083
101,라사04a76b,"POLYGON ((1004000 1976500, 1004000 1977000, 1004500 1977000, 1004500 1976500, 1004000 1976500))",9.118,9.071,29.889,10.276,33.471,9.053
102,라사04a77a,"POLYGON ((1004000 1977000, 1004000 1977500, 1004500 1977500, 1004500 1977000, 1004000 1977000))",9.451,9.404,30.222,10.609,33.804,9.386
103,라사04a77b,"POLYGON ((1004000 1977500, 1004000 1978000, 1004500 1978000, 1004500 1977500, 1004000 1977500))",7.678,7.631,28.449,8.836,32.032,7.614
104,라사04a78a,"POLYGON ((1004000 1978000, 1004000 1978500, 1004500 1978500, 1004500 1978000, 1004000 1978000))",7.701,7.653,28.472,8.859,32.054,7.636
105,라사04a78b,"POLYGON ((1004000 1978500, 1004000 1979000, 1004500 1979000, 1004500 1978500, 1004000 1978500))",5.433,5.386,26.204,6.591,29.787,5.369
106,라사04a79a,"POLYGON ((1004000 1979000, 1004000 1979500, 1004500 1979500, 1004500 1979000, 1004000 1979000))",12.676,12.628,31.694,6.923,32.404,12.611
107,라사04a79b,"POLYGON ((1004000 1979500, 1004000 1980000, 1004500 1980000, 1004500 1979500, 1004000 1979500))",12.521,12.474,31.54,6.769,32.25,12.457
108,라사04a80a,"POLYGON ((1004000 1980000, 1004000 1980500, 1004500 1980500, 1004500 1980000, 1004000 1980000))",12.91,12.862,31.928,7.157,32.639,12.845
109,라사04a80b,"POLYGON ((1004000 1980500, 1004000 1981000, 1004500 1981000, 1004500 1980500, 1004000 1980500))",6.065,6.017,25.967,4.512,26.677,5.999
110,라사04a81a,"POLYGON ((1004000 1981000, 1004000 1981500, 1004500 1981500, 1004500 1981000, 1004000 1981000))",5.584,5.537,25.487,4.032,26.196,5.519
111,라사04a81b,"POLYGON ((1004000 1981500, 1004000 1982000, 1004500 1982000, 1004500 1981500, 1004000 1981500))",5.382,5.335,25.285,3.83,25.994,5.636
112,라사04a82a,"POLYGON ((1004000 1982000, 1004000 1982500, 1004500 1982500, 1004500 1982000, 1004000 1982000))",5.658,5.611,25.051,1.397,25.761,6.316
113,라사04a82b,"POLYGON ((1004000 1982500, 1004000 1983000, 1004500 1983000, 1004500 1982500, 1004000 1982500))",4.465,4.418,22.864,2.165,23.574,5.123
114,라사04a96b,"POLYGON ((1004000 1996500, 1004000 1997000, 1004500 1997000, 1004500 1996500, 1004000 1996500))",17.107,15.579,49.301,10.524,42.465,17.212
115,라사04a97a,"POLYGON ((1004000 1997000, 1004000 1997500, 1004500 1997500, 1004500 1997000, 1004000 1997000))",17.072,15.574,49.266,10.519,42.43,17.177
116,라사04a97b,"POLYGON ((1004000 1997500, 1004000 1998000, 1004500 1998000, 1004500 1997500, 1004000 1997500))",16.226,16.226,48.42,11.283,41.584,16.331
117,라사04a98a,"POLYGON ((1004000 1998000, 1004000 1998500, 1004500 1998500, 1004500 1998000, 1004000 1998000))",15.713,15.713,47.907,11.852,41.071,15.818
118,라사04a98b,"POLYGON ((1004000 1998500, 1004000 1999000, 1004500 1999000, 1004500 1998500, 1004000 1998500))",15.25,15.249,47.444,12.339,40.608,15.355
119,라사04a99a,"POLYGON ((1004000 1999000, 1004000 1999500, 1004500 1999500, 1004500 1999000, 1004000 1999000))",15.306,15.305,47.5,12.419,40.664,15.411
120,라사04a99b,"POLYGON ((1004000 1999500, 1004000 2000000, 1004500 2000000, 1004500 1999500, 1004000 1999500))",13.08,13.079,45.274,13.123,38.437,13.185
121,라사04b70a,"POLYGON ((1004500 1970000, 1004500 1970500, 1005000 1970500, 1005000 1970000, 1004500 1970000))",14.804,15.379,30.499,3.343,33.318,15.533
122,라사04b70b,"POLYGON ((1004500 1970500, 1004500 1971000, 1005000 1971000, 1005000 1970500, 1004500 1970500))",15.341,15.915,31.035,3.88,33.855,16.069
123,라사04b71a,"POLYGON ((1004500 1971000, 1004500 1971500, 1005000 1971500, 1005000 1971000, 1004500 1971000))",18.709,19.282,34.402,7.247,37.222,19.437
124,라사04b71b,"POLYGON ((1004500 1971500, 1004500 1972000, 1005000 1972000, 1005000 1971500, 1004500 1971500))",19.08,19.653,34.773,7.618,37.593,29.975
125,라사04b72a,"POLYGON ((1004500 1972000, 1004500 1972500, 1005000 1972500, 1005000 1972000, 1004500 1972000))",12.618,12.57,36.025,8.709,38.844,12.553
126,라사04b72b,"POLYGON ((1004500 1972500, 1004500 1973000, 1005000 1973000, 1005000 1972500, 1004500 1972500))",12.264,12.217,35.671,8.356,38.491,12.2
127,라사04b73a,"POLYGON ((1004500 1973000, 1004500 1973500, 1005000 1973500, 1005000 1973000, 1004500 1973000))",12.194,12.147,35.601,8.286,38.421,12.129
128,라사04b73b,"POLYGON ((1004500 1973500, 1004500 1974000, 1005000 1974000, 1005000 1973500, 1004500 1973500))",12.542,12.495,31.75,4.214,34.569,12.477
129,라사04b74a,"POLYGON ((1004500 1974000, 1004500 1974500, 1005000 1974500, 1005000 1974000, 1004500 1974000))",11.188,11.14,32.655,5.119,35.474,11.123
130,라사04b74b,"POLYGON ((1004500 1974500, 1004500 1975000, 1005000 1975000, 1005000 1974500, 1004500 1974500))",10.787,10.739,33.426,5.89,36.245,10.722
131,라사04b75a,"POLYGON ((1004500 1975000, 1004500 1975500, 1005000 1975500, 1005000 1975000, 1004500 1975000))",11.226,11.179,33.878,6.342,36.697,11.161
132,라사04b75b,"POLYGON ((1004500 1975500, 1004500 1976000, 1005000 1976000, 1005000 1975500, 1004500 1975500))",10.648,10.6,31.418,8.213,35.0,10.583
133,라사04b76a,"POLYGON ((1004500 1976000, 1004500 1976500, 1005000 1976500, 1005000 1976000, 1004500 1976000))",9.612,9.565,30.383,10.77,33.965,9.547
134,라사04b76b,"POLYGON ((1004500 1976500, 1004500 1977000, 1005000 1977000, 1005000 1976500, 1004500 1976500))",9.596,9.548,30.366,10.754,33.949,9.531
135,라사04b77a,"POLYGON ((1004500 1977000, 1004500 1977500, 1005000 1977500, 1005000 1977000, 1004500 1977000))",9.805,9.757,30.576,10.963,34.158,9.74
136,라사04b77b,"POLYGON ((1004500 1977500, 1004500 1978000, 1005000 1978000, 1005000 1977500, 1004500 1977500))",8.169,8.121,28.94,9.327,32.523,8.104
137,라사04b78a,"POLYGON ((1004500 1978000, 1004500 1978500, 1005000 1978500, 1005000 1978000, 1004500 1978000))",11.206,11.159,30.224,5.454,30.935,11.141
138,라사04b78b,"POLYGON ((1004500 1978500, 1004500 1979000, 1005000 1979000, 1005000 1978500, 1004500 1978500))",13.1,13.053,32.119,7.348,32.829,13.035
139,라사04b79a,"POLYGON ((1004500 1979000, 1004500 1979500, 1005000 1979500, 1005000 1979000, 1004500 1979000))",12.573,12.526,31.591,6.821,32.302,12.508
140,라사04b79b,"POLYGON ((1004500 1979500, 1004500 1980000, 1005000 1980000, 1005000 1979500, 1004500 1979500))",11.957,11.91,30.976,6.205,31.686,11.892
141,라사04b80a,"POLYGON ((1004500 1980000, 1004500 1980500, 1005000 1980500, 1005000 1980000, 1004500 1980000))",12.011,11.963,31.029,6.258,31.739,11.946
142,라사04b80b,"POLYGON ((1004500 1980500, 1004500 1981000, 1005000 1981000, 1005000 1980500, 1004500 1980500))",11.936,11.889,30.954,6.184,31.665,11.871
143,라사04b81a,"POLYGON ((1004500 1981000, 1004500 1981500, 1005000 1981500, 1005000 1981000, 1004500 1981000))",6.43,6.382,25.448,0.677,26.158,6.364
144,라사04b81b,"POLYGON ((1004500 1981500, 1004500 1982000, 1005000 1982000, 1005000 1981500, 1004500 1981500))",6.001,5.954,25.019,0.701,25.729,6.256
145,라사04b82a,"POLYGON ((1004500 1982000, 1004500 1982500, 1005000 1982500, 1005000 1982000, 1004500 1982000))",5.199,5.151,24.224,0.902,24.934,5.857
146,라사04b82b,"POLYGON ((1004500 1982500, 1004500 1983000, 1005000 1983000, 1005000 1982500, 1004500 1982500))",5.004,4.956,24.215,1.353,24.925,5.662
147,라사04b83a,"POLYGON ((1004500 1983000, 1004500 1983500, 1005000 1983500, 1005000 1983000, 1004500 1983000))",8.736,8.688,22.483,5.815,23.193,9.394
148,라사04b83b,"POLYGON ((1004500 1983500, 1004500 1984000, 1005000 1984000, 1005000 1983500, 1004500 1983500))",6.421,6.373,23.537,4.121,24.247,7.079
149,라사04b96a,"POLYGON ((1004500 1996000, 1004500 1996500, 1005000 1996500, 1005000 1996000, 1004500 1996000))",24.614,15.967,21.403,5.982,27.467,24.707
150,라사04b96b,"POLYGON ((1004500 1996500, 1004500 1997000, 1005000 1997000, 1005000 1996500, 1004500 1996500))",24.364,15.717,21.153,5.732,27.217,24.457
151,라사04b97a,"POLYGON ((1004500 1997000, 1004500 1997500, 1005000 1997500, 1005000 1997000, 1004500 1997000))",24.229,15.582,21.018,5.597,27.082,24.322
152,라사04b97b,"POLYGON ((1004500 1997500, 1004500 1998000, 1005000 1998000, 1005000 1997500, 1004500 1997500))",24.237,15.59,21.026,5.605,27.09,24.33
153,라사04b98a,"POLYGON ((1004500 1998000, 1004500 1998500, 1005000 1998500, 1005000 1998000, 1004500 1998000))",24.387,15.74,21.176,5.755,27.239,24.479
154,라사04b98b,"POLYGON ((1004500 1998500, 1004500 1999000, 1005000 1999000, 1005000 1998500, 1004500 1998500))",24.647,16.001,21.437,6.016,27.5,24.74
155,라사04b99a,"POLYGON ((1004500 1999000, 1004500 1999500, 1005000 1999500, 1005000 1999000, 1004500 1999000))",15.792,15.792,47.987,12.905,41.15,15.897
156,라사04b99b,"POLYGON ((1004500 1999500, 1004500 2000000, 1005000 2000000, 1005000 1999500, 1004500 1999500))",13.58,13.58,45.775,13.623,38.938,13.685
157,라사05a70a,"POLYGON ((1005000 1970000, 1005000 1970500, 1005500 1970500, 1005500 1970000, 1005000 1970000))",14.04,14.615,29.735,2.579,32.554,14.769
158,라사05a70b,"POLYGON ((1005000 1970500, 1005000 1971000, 1005500 1971000, 1005500 1970500, 1005000 1970500))",13.649,14.225,29.344,2.188,32.163,14.378
159,라사05a71a,"POLYGON ((1005000 1971000, 1005000 1971500, 1005500 1971500, 1005500 1971000, 1005000 1971000))",13.626,14.58,29.32,2.165,32.519,14.733
